"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"52,888",17.861,0.068300
2,Information Fusion,"6,409",13.669,0.011200
3,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"15,581",11.169,0.011700
4,MEDICAL IMAGE ANALYSIS,"9,028",11.148,0.017100
5,IEEE Transactions on Cybernetics,"17,681",11.079,0.052000
6,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"5,796",10.312,0.004540
7,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"16,974",9.518,0.025140
8,IEEE TRANSACTIONS ON IMAGE PROCESSING,"47,814",9.340,0.078420
9,IEEE Computational Intelligence Magazine,"1,538",9.083,0.002770
10,IEEE Transactions on Neural Networks and Learning Systems,"27,880",8.793,0.048210
11,IEEE Transactions on Affective Computing,"2,375",7.512,0.003110
12,PATTERN RECOGNITION,"28,857",7.196,0.033490
13,Swarm and Evolutionary Computation,"3,774",6.912,0.004190
14,ARTIFICIAL INTELLIGENCE,"9,788",6.628,0.007600
15,KNOWLEDGE-BASED SYSTEMS,"15,975",5.921,0.026270
16,ARTIFICIAL INTELLIGENCE REVIEW,"3,229",5.747,0.003970
17,INTERNATIONAL JOURNAL OF COMPUTER VISION,"16,022",5.698,0.025730
18,International Journal of Neural Systems,"1,963",5.604,0.002910
19,NEURAL NETWORKS,"14,065",5.535,0.018910
20,APPLIED SOFT COMPUTING,"24,071",5.472,0.034920
21,EXPERT SYSTEMS WITH APPLICATIONS,"43,958",5.452,0.038830
22,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"13,772",4.935,0.019950
23,NEURAL COMPUTING & APPLICATIONS,"11,375",4.774,0.014980
24,DECISION SUPPORT SYSTEMS,"10,739",4.721,0.008810
25,INTEGRATED COMPUTER-AIDED ENGINEERING,665,4.706,0.001100
26,Journal of Ambient Intelligence and Humanized Computing,"2,097",4.594,0.001910
27,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,"1,164",4.476,0.001550
28,NEUROCOMPUTING,"35,692",4.438,0.065910
29,International Journal of Fuzzy Systems,"2,566",4.406,0.003530
30,ARTIFICIAL INTELLIGENCE IN MEDICINE,"2,953",4.383,0.003370
31,Fuzzy Optimization and Decision Making,"1,098",4.319,0.001040
32,JOURNAL OF INTELLIGENT MANUFACTURING,"4,655",4.311,0.004520
33,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"7,561",4.201,0.009120
34,EVOLUTIONARY COMPUTATION,"3,226",3.933,0.001910
35,ADVANCED ENGINEERING INFORMATICS,"3,173",3.879,0.003390
36,Memetic Computing,571,3.860,0.000810
37,Complex & Intelligent Systems,278,3.791,0.000740
38,International Journal of Machine Learning and Cybernetics,"2,447",3.753,0.003950
39,AUTONOMOUS ROBOTS,"3,472",3.602,0.004110
40,JOURNAL OF MACHINE LEARNING RESEARCH,"28,234",3.484,0.040600
41,IEEE Transactions on Human-Machine Systems,"1,556",3.374,0.004070
42,APPLIED INTELLIGENCE,"3,732",3.325,0.004880
43,PATTERN RECOGNITION LETTERS,"13,401",3.255,0.014550
44,IEEE INTELLIGENT SYSTEMS,"3,141",3.210,0.002870
45,Semantic Web,836,3.182,0.001670
46,COMPUTER VISION AND IMAGE UNDERSTANDING,"5,691",3.121,0.008890
47,Egyptian Informatics Journal,579,3.119,0.000650
48,IMAGE AND VISION COMPUTING,"5,275",3.103,0.006250
49,PeerJ Computer Science,685,3.091,0.003300
50,SOFT COMPUTING,"8,859",3.050,0.011920
51,KNOWLEDGE AND INFORMATION SYSTEMS,"3,242",2.936,0.005470
52,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"9,421",2.895,0.007790
53,NEURAL PROCESSING LETTERS,"2,606",2.891,0.003110
54,ROBOTICS AND AUTONOMOUS SYSTEMS,"6,270",2.825,0.008410
55,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,"4,190",2.678,0.004580
56,Big Data Research,462,2.673,0.001070
57,ACM Transactions on Intelligent Systems and Technology,"3,727",2.672,0.004280
57,MACHINE LEARNING,"18,677",2.672,0.004940
59,IEEE Transactions on Cognitive and Developmental Systems,461,2.667,0.001230
60,DATA MINING AND KNOWLEDGE DISCOVERY,"3,566",2.629,0.003540
61,Frontiers in Neurorobotics,799,2.574,0.001560
62,International Journal of Interactive Multimedia and Artificial Intelligence,537,2.561,0.000580
63,Swarm Intelligence,591,2.556,0.000480
64,COMPUTATIONAL LINGUISTICS,"2,426",2.510,0.001270
65,NEURAL COMPUTATION,"14,624",2.505,0.005870
66,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,"4,623",2.441,0.003570
67,SIAM Journal on Imaging Sciences,"3,789",2.313,0.010070
68,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,"3,904",2.259,0.004630
69,Journal of Web Semantics,"1,207",2.238,0.001170
70,COMPUTER SPEECH AND LANGUAGE,"1,402",2.116,0.002190
71,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,806,2.039,0.000950
72,IET Image Processing,"2,030",1.995,0.002660
73,Journal of Real-Time Image Processing,"1,053",1.968,0.001460
74,International Journal of Bio-Inspired Computation,948,1.914,0.000840
75,Cognitive Systems Research,"1,050",1.902,0.001190
76,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,"1,248",1.894,0.001280
77,IEEE Transactions on Games,83,1.886,0.000190
78,MINDS AND MACHINES,534,1.855,0.000550
79,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,"7,339",1.851,0.008710
80,International Journal of Computational Intelligence Systems,"1,463",1.838,0.001780
81,IET Biometrics,572,1.821,0.001260
82,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,967,1.813,0.001030
83,Genetic Programming and Evolvable Machines,378,1.781,0.000400
84,ACM Transactions on Autonomous and Adaptive Systems,464,1.775,0.000720
85,International Journal on Semantic Web and Information Systems,397,1.742,0.000420
86,JOURNAL OF CHEMOMETRICS,"3,563",1.633,0.002440
87,ACM Transactions on Interactive Intelligent Systems,560,1.630,0.001280
88,AI MAGAZINE,"1,653",1.627,0.002250
89,MACHINE VISION AND APPLICATIONS,"2,029",1.605,0.002860
90,Journal of Ambient Intelligence and Smart Environments,424,1.595,0.000460
91,IEEE Transactions on Computational Intelligence and AI in Games,455,1.588,0.000380
92,JOURNAL OF HEURISTICS,"1,239",1.577,0.001170
93,EXPERT SYSTEMS,785,1.546,0.000840
94,Traitement du Signal,100,1.541,0.000050
95,IET Computer Vision,990,1.516,0.001630
96,PATTERN ANALYSIS AND APPLICATIONS,"1,197",1.512,0.001450
97,Journal on Multimodal User Interfaces,345,1.511,0.000660
98,Natural Computing,797,1.495,0.001250
99,International Journal on Document Analysis and Recognition,518,1.486,0.000620
100,DATA & KNOWLEDGE ENGINEERING,"1,602",1.476,0.000940
101,Natural Language Engineering,556,1.465,0.000580
102,JOURNAL OF AUTOMATED REASONING,625,1.431,0.000830
103,ACM Transactions on Asian and Low-Resource Language Information Processing,129,1.420,0.000130
104,Statistical Analysis and Data Mining,478,1.396,0.001150
105,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,"1,785",1.375,0.001530
105,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,"1,774",1.375,0.000780
107,JOURNAL OF MATHEMATICAL IMAGING AND VISION,"2,085",1.353,0.004820
108,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,849,1.342,0.001010
109,INTELLIGENT AUTOMATION AND SOFT COMPUTING,651,1.276,0.000590
110,KNOWLEDGE ENGINEERING REVIEW,851,1.257,0.000690
111,COMPUTATIONAL INTELLIGENCE,756,1.196,0.000660
112,ARTIFICIAL LIFE,835,1.186,0.000610
113,APPLIED ARTIFICIAL INTELLIGENCE,807,1.172,0.000690
114,CONSTRAINTS,255,1.167,0.000630
115,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,634,1.119,0.000460
116,Advances in Electrical and Computer Engineering,387,1.102,0.000400
117,CONNECTION SCIENCE,413,1.042,0.000340
118,AI COMMUNICATIONS,429,1.000,0.000460
119,International Journal of Applied Mathematics and Computer Science,"1,075",0.967,0.000770
120,ADAPTIVE BEHAVIOR,607,0.929,0.000610
121,Information Technology and Control,267,0.905,0.000230
122,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,535,0.886,0.000420
123,Applied Ontology,193,0.852,0.000320
124,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,806,0.778,0.001210
125,Malaysian Journal of Computer Science,119,0.723,0.000080
126,JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,440,0.703,0.000370
127,International Journal on Artificial Intelligence Tools,495,0.689,0.000700
128,Turkish Journal of Electrical Engineering and Computer Sciences,"1,315",0.682,0.001600
129,Intelligent Data Analysis,"1,000",0.651,0.000700
130,Neural Network World,289,0.635,0.000210
131,Biologically Inspired Cognitive Architectures,163,0.613,0.000350
132,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,447,0.538,0.000420
133,NETWORK-COMPUTATION IN NEURAL SYSTEMS,761,0.500,0.000070
134,COMPUTING AND INFORMATICS,350,0.496,0.000310
135,International Arab Journal of Information Technology,645,0.467,0.000450
136,Journal of Logic Language and Information,274,0.440,0.000400
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
