Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ECOLOGY' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,TRENDS IN ECOLOGY & EVOLUTION,"38,175",14.764,0.032330
2,Annual Review of Ecology Evolution and Systematics,"20,714",14.041,0.011520
3,Nature Ecology & Evolution,"6,172",12.541,0.031360
4,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"11,288",9.295,0.014990
5,ISME Journal,"26,474",9.180,0.051810
6,ECOLOGY LETTERS,"34,487",8.665,0.039090
7,GLOBAL CHANGE BIOLOGY,"45,069",8.555,0.074180
8,ECOLOGICAL MONOGRAPHS,"11,572",7.722,0.008080
9,Methods in Ecology and Evolution,"14,302",6.511,0.035230
10,ECOGRAPHY,"12,570",6.455,0.019080
11,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"12,959",6.446,0.022350
12,Ecosystem Services,"7,796",6.330,0.010850
13,Molecular Ecology Resources,"10,868",6.286,0.019630
14,Advances in Ecological Research,"2,211",6.167,0.001780
15,JOURNAL OF APPLIED ECOLOGY,"20,491",5.840,0.025760
16,JOURNAL OF ECOLOGY,"20,912",5.762,0.021330
17,LANDSCAPE AND URBAN PLANNING,"18,415",5.441,0.015980
18,CONSERVATION BIOLOGY,"22,287",5.405,0.019010
19,MOLECULAR ECOLOGY,"38,951",5.163,0.050800
20,Remote Sensing in Ecology and Conservation,440,5.000,0.001370
21,BIOLOGICAL CONSERVATION,"32,257",4.711,0.037670
22,ECOLOGY,"63,431",4.700,0.039100
23,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"55,054",4.637,0.075820
24,Current Opinion in Insect Science,"2,247",4.565,0.008900
25,JOURNAL OF ANIMAL ECOLOGY,"16,767",4.554,0.016640
26,ECOLOGICAL ECONOMICS,"26,706",4.482,0.019360
27,FUNCTIONAL ECOLOGY,"17,073",4.434,0.021930
28,ECOLOGICAL APPLICATIONS,"21,637",4.248,0.018440
29,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"23,560",4.241,0.025300
30,ECOSYSTEMS,"9,886",4.207,0.009380
31,DIVERSITY AND DISTRIBUTIONS,"8,608",3.993,0.012970
32,ECOLOGY AND SOCIETY,"11,994",3.890,0.014290
33,FRESHWATER BIOLOGY,"15,144",3.835,0.011100
34,AMERICAN NATURALIST,"29,149",3.744,0.016860
35,JOURNAL OF BIOGEOGRAPHY,"15,932",3.723,0.018710
36,EVOLUTION,"32,140",3.698,0.024360
37,ECOLOGICAL ENGINEERING,"18,887",3.512,0.021150
38,Biogeosciences,"18,465",3.480,0.037520
39,HEREDITY,"9,838",3.436,0.010550
40,LANDSCAPE ECOLOGY,"9,901",3.385,0.010050
41,OIKOS,"21,895",3.370,0.014610
42,Movement Ecology,703,3.365,0.002580
43,MICROBIAL ECOLOGY,"11,307",3.356,0.010940
44,ANIMAL CONSERVATION,"3,239",3.210,0.003440
45,BASIC AND APPLIED ECOLOGY,"3,389",3.156,0.004160
46,BIOLOGICAL INVASIONS,"9,908",3.087,0.013110
47,BIODIVERSITY AND CONSERVATION,"11,286",2.935,0.010320
48,Ecosphere,"7,692",2.878,0.022870
49,Biology Letters,"10,299",2.869,0.017320
50,MAMMAL REVIEW,"2,044",2.804,0.002140
51,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,"1,880",2.772,0.001390
52,Ecohydrology,"3,030",2.767,0.005960
53,BEHAVIORAL ECOLOGY,"9,999",2.761,0.012450
54,RESTORATION ECOLOGY,"5,681",2.721,0.005460
55,JOURNAL OF EVOLUTIONARY BIOLOGY,"10,761",2.720,0.013000
56,JOURNAL OF VEGETATION SCIENCE,"8,371",2.698,0.006850
57,Fungal Ecology,"2,746",2.656,0.005980
58,OECOLOGIA,"32,699",2.654,0.019190
59,NeoBiota,455,2.643,0.000840
60,APPLIED VEGETATION SCIENCE,"2,202",2.574,0.002860
61,Conservation Physiology,"1,342",2.570,0.004180
62,URBAN ECOSYSTEMS,"2,811",2.547,0.003830
63,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,"2,403",2.540,0.002880
64,ECOTOXICOLOGY,"6,108",2.535,0.005370
65,Global Ecology and Conservation,"1,734",2.526,0.005920
66,Ecological Informatics,"2,265",2.511,0.003970
67,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,"2,593",2.500,0.000660
68,ECOLOGICAL MODELLING,"19,314",2.497,0.014030
69,JOURNAL FOR NATURE CONSERVATION,"1,661",2.482,0.002620
70,Frontiers in Ecology and Evolution,"2,226",2.416,0.008320
71,Ecology and Evolution,"12,732",2.392,0.040850
72,MARINE ECOLOGY PROGRESS SERIES,"37,574",2.326,0.022180
73,Ecosystem Health and Sustainability,395,2.315,0.001410
74,EUROPEAN JOURNAL OF SOIL BIOLOGY,"3,316",2.285,0.003040
75,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"11,921",2.277,0.009320
76,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,"14,939",2.247,0.007440
77,WILDLIFE MONOGRAPHS,877,2.222,0.000460
78,JOURNAL OF WILDLIFE MANAGEMENT,"10,794",2.215,0.005640
79,JOURNAL OF SOIL AND WATER CONSERVATION,"4,331",2.209,0.002900
80,ORYX,"2,965",2.199,0.003720
81,AoB Plants,"1,840",2.182,0.004840
82,JOURNAL OF CHEMICAL ECOLOGY,"10,156",2.117,0.005490
83,Rangeland Ecology & Management,"2,409",2.095,0.002540
84,BIOTROPICA,"6,031",2.090,0.004460
85,CHEMOECOLOGY,"1,031",2.050,0.000900
86,BMC ECOLOGY,"1,251",2.029,0.001810
87,PEDOBIOLOGIA,"2,440",2.000,0.001390
88,PALEOBIOLOGY,"3,773",1.951,0.002190
89,International Journal for Parasitology-Parasites and Wildlife,883,1.923,0.002620
90,Bulletin of the Peabody Museum of Natural History,273,1.900,0.000320
91,ECOHYDROLOGY & HYDROBIOLOGY,627,1.877,0.000720
92,Aquatic Invasions,"1,474",1.856,0.001680
92,Journal of Biological Dynamics,660,1.856,0.001000
94,AQUATIC MICROBIAL ECOLOGY,"4,103",1.841,0.002270
95,Journal of Plant Ecology,"1,810",1.833,0.003000
96,JOURNAL OF ARID ENVIRONMENTS,"8,956",1.830,0.004880
97,PLANT SPECIES BIOLOGY,741,1.828,0.000790
98,Freshwater Science,"1,973",1.821,0.004680
99,EVOLUTIONARY ECOLOGY,"3,549",1.800,0.002610
100,WETLANDS,"4,883",1.783,0.004080
101,POLAR BIOLOGY,"6,159",1.728,0.006290
102,WILDLIFE RESEARCH,"2,811",1.669,0.002350
103,Fire Ecology,712,1.667,0.000790
104,Landscape and Ecological Engineering,465,1.647,0.000420
105,Ecological Processes,535,1.642,0.000780
106,Arctic Science,173,1.640,0.000620
107,FLORA,"3,060",1.591,0.002670
108,ECOLOGICAL RESEARCH,"3,566",1.580,0.002980
109,Ecological Complexity,"1,815",1.571,0.002210
110,WEB ECOLOGY,168,1.560,0.000200
111,AUSTRAL ECOLOGY,"3,992",1.551,0.003090
112,ENVIRONMENTAL BIOLOGY OF FISHES,"6,263",1.516,0.003710
112,NEW ZEALAND JOURNAL OF ECOLOGY,"1,131",1.516,0.000900
114,PLANT ECOLOGY,"5,875",1.509,0.003800
115,THEORETICAL POPULATION BIOLOGY,"3,776",1.454,0.002350
116,AQUATIC ECOLOGY,"1,805",1.429,0.001500
117,REVISTA CHILENA DE HISTORIA NATURAL,"1,370",1.412,0.000390
118,PHYTOCOENOLOGIA,581,1.404,0.000410
119,Diversity-Basel,"1,104",1.402,0.001480
120,CHEMISTRY AND ECOLOGY,"1,275",1.400,0.000980
121,Polar Science,608,1.389,0.001200
122,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,"1,912",1.381,0.002740
123,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,443,1.310,0.000670
124,Marine Biology Research,"1,366",1.298,0.002180
125,POPULATION ECOLOGY,"1,184",1.297,0.001640
126,WILDLIFE BIOLOGY,"1,441",1.258,0.001340
127,ECOSCIENCE,"1,865",1.250,0.000480
128,JOURNAL OF FRESHWATER ECOLOGY,"1,068",1.239,0.000830
129,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,"3,148",1.220,0.002790
130,Regional Studies in Marine Science,690,1.183,0.001700
131,JOURNAL OF TROPICAL ECOLOGY,"3,084",1.163,0.001150
132,POLAR RESEARCH,"1,577",1.127,0.001490
133,Theoretical Ecology,685,1.099,0.001290
134,EVOLUTIONARY ECOLOGY RESEARCH,"1,824",1.094,0.000860
135,RANGELAND JOURNAL,859,1.089,0.000990
136,ECOLOGICAL MANAGEMENT & RESTORATION,797,1.086,0.000830
137,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,"4,355",1.085,0.003090
138,POLISH POLAR RESEARCH,738,1.065,0.000500
139,JOURNAL OF NATURAL HISTORY,"3,334",1.032,0.002860
140,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,"1,293",1.000,0.000180
141,COMPOST SCIENCE & UTILIZATION,766,0.969,0.000310
142,ANNALES ZOOLOGICI FENNICI,"1,600",0.956,0.000770
143,Human-Wildlife Interactions,244,0.897,0.000370
144,COMMUNITY ECOLOGY,611,0.851,0.000570
145,POLAR RECORD,625,0.840,0.000610
146,Journal of Fish and Wildlife Management,366,0.813,0.000910
147,Ecological Restoration,415,0.804,0.000400
148,ACTA AMAZONICA,"1,583",0.768,0.000870
149,NATURAL AREAS JOURNAL,796,0.725,0.000880
150,AFRICAN JOURNAL OF ECOLOGY,"1,850",0.713,0.001260
151,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,"1,394",0.712,0.001660
152,African Journal of Wildlife Research,86,0.700,0.000350
153,AMERICAN MIDLAND NATURALIST,"3,490",0.677,0.000740
154,Eco mont-Journal on Protected Mountain Areas Research,92,0.667,0.000150
155,Contemporary Problems of Ecology,522,0.602,0.000720
156,RUSSIAN JOURNAL OF ECOLOGY,977,0.557,0.000580
157,NORTHWEST SCIENCE,756,0.545,0.000390
158,NORTHEASTERN NATURALIST,713,0.538,0.000710
159,POLISH JOURNAL OF ECOLOGY,667,0.500,0.000540
160,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,645,0.455,0.000040
161,INTERCIENCIA,"1,027",0.448,0.000540
162,WESTERN NORTH AMERICAN NATURALIST,636,0.447,0.000490
163,VIE ET MILIEU-LIFE AND ENVIRONMENT,495,0.434,0.000200
164,SOUTHEASTERN NATURALIST,688,0.417,0.000910
165,Israel Journal of Ecology & Evolution,232,0.357,0.000150
166,REVUE D ECOLOGIE-LA TERRE ET LA VIE,381,0.333,0.000240
167,SOUTHWESTERN NATURALIST,"1,224",0.127,0.000310
168,NATURAL HISTORY,408,0.017,0.000110
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
