Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'GREEN & SUSTAINABLE SCIENCE &amp; TECHNOLOGY' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Nature Sustainability,"1,423",12.080,0.005070
2,SUSTAINABLE DEVELOPMENT,"2,593",4.082,0.001590
3,Journal of Sustainable Tourism,"5,914",3.986,0.003210
4,Sustainable Production and Consumption,740,3.660,0.001080
5,International Journal of Sustainable Transportation,"1,405",2.709,0.002400
6,Sustainability,"35,095",2.576,0.041110
7,International Journal of Sustainability in Higher Education,"2,010",2.000,0.000710
8,Energy Efficiency,"1,526",1.810,0.002040
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
