"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"2,220",6.730,0.003790
2,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,"33,874",5.763,0.041240
3,IEEE Transactions on Network Science and Engineering,563,5.213,0.001560
4,Annual Review of Statistics and Its Application,515,5.095,0.004250
5,International Journal for Uncertainty Quantification,564,4.911,0.001350
6,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,"2,156",4.536,0.002210
7,Communications in Nonlinear Science and Numerical Simulation,"12,329",4.115,0.017780
8,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,"10,547",4.036,0.019800
9,ECONOMETRICA,"35,846",3.992,0.040750
10,CHAOS SOLITONS & FRACTALS,"11,801",3.764,0.011940
11,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,"16,618",3.638,0.008930
12,APPLIED MATHEMATICAL MODELLING,"19,533",3.633,0.026890
13,COMPUTATIONAL MECHANICS,"7,457",3.459,0.011120
14,Fractional Calculus and Applied Analysis,"2,182",3.170,0.004490
15,RISK ANALYSIS,"9,710",3.137,0.008500
16,IEEE-ACM Transactions on Computational Biology and Bioinformatics,"3,542",3.015,0.006930
17,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"9,421",2.895,0.007790
18,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,"5,205",2.884,0.006150
19,EPJ Data Science,629,2.873,0.001970
20,INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,"3,059",2.871,0.002500
21,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,"20,814",2.866,0.015070
22,Nonlinear Analysis-Modelling and Control,907,2.780,0.001340
23,MULTIVARIATE BEHAVIORAL RESEARCH,"7,112",2.750,0.007880
24,Bayesian Analysis,"2,000",2.696,0.006600
25,JOURNAL OF MATHEMATICAL PSYCHOLOGY,"3,063",2.635,0.003830
26,Mathematical Geosciences,"1,177",2.471,0.001880
27,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,"7,115",2.469,0.007090
28,COMPLEXITY,"4,413",2.462,0.007160
29,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"1,965",2.388,0.003480
30,Grey Systems-Theory and Application,394,2.268,0.000430
31,MATHEMATICAL FINANCE,"1,967",2.250,0.003870
32,Econometrics Journal,966,2.139,0.002350
33,International Journal for Numerical Methods in Biomedical Engineering,"1,614",2.097,0.003380
34,COMBUSTION THEORY AND MODELLING,"1,699",2.076,0.001930
35,FINANCE AND STOCHASTICS,"1,235",2.048,0.003520
36,MATHEMATICS AND MECHANICS OF SOLIDS,"1,467",2.040,0.002650
37,SIAM-ASA Journal on Uncertainty Quantification,633,1.964,0.004990
38,PSYCHOMETRIKA,"11,390",1.959,0.004990
39,MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,"2,377",1.949,0.003190
40,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,"8,383",1.941,0.003780
41,MULTISCALE MODELING & SIMULATION,"2,465",1.855,0.004720
42,OPTIMIZATION AND ENGINEERING,958,1.829,0.001640
43,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,"7,164",1.808,0.005240
44,JOURNAL OF MATHEMATICAL CHEMISTRY,"2,749",1.795,0.001820
45,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,"8,705",1.747,0.006720
46,Journal of Causal Inference,217,1.720,0.001700
47,International Journal of Computational Methods,"1,081",1.716,0.001540
48,Journal of Grey System,710,1.714,0.000520
49,Scandinavian Actuarial Journal,797,1.705,0.002080
50,Computational Particle Mechanics,480,1.696,0.001690
51,Spatial Statistics,661,1.656,0.003360
52,Mathematical Modelling of Natural Phenomena,854,1.642,0.001420
53,JOURNAL OF CHEMOMETRICS,"3,563",1.633,0.002440
54,CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,"2,857",1.613,0.002890
55,JOURNAL OF ECONOMETRICS,"18,694",1.577,0.019980
56,Computational and Mathematical Organization Theory,447,1.558,0.000370
56,NONLINEAR PROCESSES IN GEOPHYSICS,"1,911",1.558,0.001950
58,IMA Journal of Management Mathematics,440,1.529,0.000880
59,QUANTITATIVE FINANCE,"2,520",1.491,0.004730
60,JOURNAL OF COMPUTATIONAL ACOUSTICS,508,1.471,0.000440
61,JOURNAL OF ENGINEERING MATHEMATICS,"1,928",1.434,0.001690
62,Journal of Industrial and Management Optimization,893,1.366,0.001940
63,INSURANCE MATHEMATICS & ECONOMICS,"3,551",1.359,0.004710
64,ENGINEERING COMPUTATIONS,"2,127",1.322,0.002050
65,Computational Economics,985,1.317,0.001340
66,SIAM Journal on Financial Mathematics,525,1.315,0.002240
67,INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,977,1.314,0.001950
68,Dynamic Games and Applications,370,1.253,0.001240
69,Astin Bulletin,935,1.236,0.001340
70,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,921,1.175,0.002170
71,ECONOMETRIC THEORY,"2,494",1.170,0.003860
72,JOURNAL OF CLASSIFICATION,"1,524",1.156,0.001890
73,Extremes,556,1.136,0.001890
74,Journal of Mathematical Neuroscience,188,1.115,0.000580
75,Networks and Heterogeneous Media,516,1.053,0.001310
76,ENVIRONMETRICS,"1,843",1.039,0.002210
77,MATHEMATICAL PROBLEMS IN ENGINEERING,"11,080",1.009,0.017790
78,International Journal for Multiscale Computational Engineering,512,1.000,0.000550
79,FLUCTUATION AND NOISE LETTERS,466,0.988,0.000470
80,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,805,0.981,0.000940
81,ADVANCES IN COMPLEX SYSTEMS,622,0.976,0.000380
81,MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS,"1,016",0.976,0.001060
83,Econometric Reviews,"1,469",0.933,0.002620
84,Journal of Systems Science & Complexity,981,0.926,0.001360
85,NATURAL RESOURCE MODELING,451,0.915,0.000360
86,DISCRETE DYNAMICS IN NATURE AND SOCIETY,"1,872",0.870,0.002570
87,Journal of Theoretical and Computational Acoustics,44,0.850,0.000110
88,INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,544,0.833,0.000780
89,JOURNAL OF TIME SERIES ANALYSIS,"1,720",0.817,0.002500
90,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,"1,473",0.805,0.000870
91,LIFETIME DATA ANALYSIS,915,0.794,0.001650
92,Mathematics and Financial Economics,237,0.792,0.000800
93,JOURNAL OF MATHEMATICAL ECONOMICS,"1,429",0.746,0.003600
94,Economic Computation and Economic Cybernetics Studies and Research,366,0.743,0.000460
95,International Journal of Wavelets Multiresolution and Information Processing,486,0.739,0.000550
96,MATHEMATICAL SOCIAL SCIENCES,982,0.669,0.001850
97,Journal of Cellular Automata,144,0.596,0.000300
98,Mathematical Population Studies,185,0.586,0.000160
99,INTERNATIONAL JOURNAL OF GAME THEORY,"1,327",0.565,0.001810
100,ARCHIVE FOR HISTORY OF EXACT SCIENCES,373,0.559,0.000360
101,JOURNAL OF MATHEMATICAL SOCIOLOGY,"1,028",0.538,0.000530
102,Journal of Mathematics and Music,91,0.467,0.000090
103,Statistics and Its Interface,477,0.412,0.000820
104,Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria,109,0.338,0.000150
105,HISTORIA MATHEMATICA,299,0.286,0.000190
106,Bollettino di Storia delle Scienze Matematiche,29,0.000,0.000000
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
