Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'OCEANOGRAPHY' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Annual Review of Marine Science,"4,444",16.359,0.009090
2,Limnology and Oceanography Letters,408,5.242,0.001900
3,PROGRESS IN OCEANOGRAPHY,"9,511",4.060,0.013720
4,Journal of Operational Oceanography,539,4.040,0.001380
5,LIMNOLOGY AND OCEANOGRAPHY,"29,383",3.778,0.016560
6,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,"38,920",3.559,0.039390
7,OCEANOGRAPHY,"4,294",3.431,0.006620
8,JOURNAL OF PHYSICAL OCEANOGRAPHY,"16,482",3.318,0.016490
9,PALEOCEANOGRAPHY,"7,879",3.313,0.006970
10,OCEAN MODELLING,"4,713",3.215,0.008030
11,ICES JOURNAL OF MARINE SCIENCE,"11,699",3.188,0.015030
12,OCEAN ENGINEERING,"16,650",3.068,0.021790
13,MARINE GEOLOGY,"14,011",3.040,0.010690
14,IEEE JOURNAL OF OCEANIC ENGINEERING,"4,647",3.005,0.003720
15,MARINE CHEMISTRY,"9,809",2.933,0.007490
16,Paleoceanography and Paleoclimatology,329,2.888,0.001480
17,Ocean Science,"2,529",2.864,0.005280
18,APPLIED OCEAN RESEARCH,"4,381",2.753,0.005510
19,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,"11,188",2.697,0.011580
20,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,"8,017",2.606,0.008450
21,JOURNAL OF MARINE SYSTEMS,"6,933",2.528,0.008000
22,OCEAN & COASTAL MANAGEMENT,"7,216",2.482,0.010110
23,LIMNOLOGY AND OCEANOGRAPHY-METHODS,"3,143",2.458,0.003860
24,CONTINENTAL SHELF RESEARCH,"10,055",2.424,0.008900
25,ESTUARINE COASTAL AND SHELF SCIENCE,"17,632",2.333,0.014720
26,MARINE ECOLOGY PROGRESS SERIES,"37,574",2.326,0.022180
27,MARINE GEOPHYSICAL RESEARCH,"1,194",2.295,0.000810
28,FISHERIES OCEANOGRAPHY,"2,145",2.198,0.002410
28,OCEANOLOGIA,"1,186",2.198,0.001350
30,JOURNAL OF PLANKTON RESEARCH,"6,746",2.149,0.004510
31,Journal of Marine Science and Engineering,"1,018",2.033,0.002130
32,TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,"3,122",1.932,0.003220
33,JOURNAL OF NAVIGATION,"2,193",1.908,0.001970
34,OCEAN DYNAMICS,"2,885",1.887,0.004460
35,JOURNAL OF SEA RESEARCH,"3,570",1.725,0.004140
36,MARINE GEORESOURCES & GEOTECHNOLOGY,"1,016",1.716,0.001360
37,DYNAMICS OF ATMOSPHERES AND OCEANS,"1,218",1.592,0.001150
38,ENVIRONMENTAL FLUID MECHANICS,"1,185",1.512,0.001910
39,JOURNAL OF MARINE RESEARCH,"2,719",1.500,0.000610
40,MARINE AND FRESHWATER RESEARCH,"5,025",1.488,0.004870
41,Journal of Southern Hemisphere Earth Systems Science,54,1.476,0.000240
42,JOURNAL OF OCEANOGRAPHY,"2,494",1.469,0.001650
43,BULLETIN OF MARINE SCIENCE,"4,979",1.432,0.001580
44,GEO-MARINE LETTERS,"1,764",1.429,0.001210
45,ATMOSPHERE-OCEAN,"1,408",1.426,0.001010
46,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,"1,993",1.400,0.000870
47,MARINE GEODESY,"1,084",1.322,0.000960
48,HELGOLAND MARINE RESEARCH,"1,635",1.250,0.000790
49,ACTA OCEANOLOGICA SINICA,"2,194",1.146,0.003290
50,POLAR RESEARCH,"1,577",1.127,0.001490
51,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,"1,553",1.068,0.001640
52,OCEANOLOGY,"1,251",0.838,0.001090
53,Journal of Ocean University of China,"1,150",0.802,0.001570
54,Plankton & Benthos Research,285,0.764,0.000290
55,OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,441,0.753,0.000440
56,ACTA ADRIATICA,440,0.746,0.000380
57,Ocean Science Journal,548,0.726,0.000720
58,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,"1,209",0.725,0.001060
59,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,993,0.703,0.000890
60,THALASSAS,198,0.657,0.000260
61,MARINE TECHNOLOGY SOCIETY JOURNAL,981,0.619,0.000820
62,Journal of Oceanology and Limnology,213,0.617,0.000340
63,BRAZILIAN JOURNAL OF OCEANOGRAPHY,657,0.583,0.000710
64,REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA,647,0.439,0.000560
65,Indian Journal of Geo-Marine Sciences,851,0.328,0.001200
66,NAVAL ENGINEERS JOURNAL,261,0.227,0.000060
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
