Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'REGIONAL & URBAN PLANNING' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,"13,607",5.846,0.016200
2,LANDSCAPE AND URBAN PLANNING,"18,415",5.441,0.015980
3,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,"3,940",4.711,0.001750
4,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,"3,846",4.655,0.005210
5,HABITAT INTERNATIONAL,"6,352",4.310,0.007500
6,SUSTAINABLE DEVELOPMENT,"2,593",4.082,0.001590
7,JOURNAL OF RURAL STUDIES,"6,271",3.544,0.007400
8,REGIONAL STUDIES,"7,940",3.312,0.008730
9,JOURNAL OF PLANNING EDUCATION AND RESEARCH,"2,021",3.100,0.001950
10,Journal of Environmental Policy & Planning,"1,389",3.040,0.002070
11,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,"5,432",2.975,0.005860
12,EUROPEAN URBAN AND REGIONAL STUDIES,"1,408",2.855,0.001740
13,Environment and Planning B-Urban Analytics and City Science,"3,861",2.822,0.002230
14,FUTURES,"3,998",2.769,0.003010
15,Planning Theory & Practice,"1,195",2.654,0.001030
16,Environment and Planning C-Politics and Space,"2,679",2.601,0.003830
17,Planning Theory,"1,299",2.600,0.001110
18,JOURNAL OF PLANNING LITERATURE,"1,035",2.583,0.000850
19,PROGRESS IN PLANNING,"1,003",2.563,0.000570
20,Housing Theory & Society,671,2.317,0.000840
21,HOUSING STUDIES,"2,555",2.255,0.002260
22,EUROPEAN PLANNING STUDIES,"3,940",2.226,0.003720
23,PAPERS IN REGIONAL SCIENCE,"2,263",2.220,0.002140
24,INTERNATIONAL REGIONAL SCIENCE REVIEW,"1,136",2.213,0.000710
25,Journal of Environmental Planning and Management,"2,956",2.093,0.003430
26,JOURNAL OF REGIONAL SCIENCE,"2,598",2.088,0.002140
27,Urban Policy and Research,746,2.000,0.000760
28,LOCAL GOVERNMENT STUDIES,"1,087",1.909,0.001540
29,Journal of Environment & Development,690,1.844,0.000620
30,SOCIETY & NATURAL RESOURCES,"3,793",1.813,0.003500
31,Applied Spatial Analysis and Policy,361,1.778,0.000740
32,ANNALS OF REGIONAL SCIENCE,"1,977",1.750,0.001590
33,Journal of Housing and the Built Environment,917,1.442,0.001080
34,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,"1,240",1.381,0.001350
35,GROWTH AND CHANGE,"1,113",1.235,0.000760
36,INTERNATIONAL DEVELOPMENT PLANNING REVIEW,469,1.178,0.000490
37,disP,231,0.981,0.000290
38,Urban Design International,467,0.875,0.000290
39,JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,492,0.439,0.000090
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
