"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'SOCIAL SCIENCES, MATHEMATICAL METHODS' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,SOCIOLOGICAL METHODS & RESEARCH,"4,936",4.508,0.005110
2,REVIEW OF ECONOMICS AND STATISTICS,"16,553",4.345,0.024000
3,ECONOMETRICA,"35,846",3.992,0.040750
4,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,"16,618",3.638,0.008930
5,RISK ANALYSIS,"9,710",3.137,0.008500
6,Financial Innovation,430,2.964,0.000000
7,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,"5,921",2.935,0.008680
8,EPJ Data Science,629,2.873,0.001970
9,MULTIVARIATE BEHAVIORAL RESEARCH,"7,112",2.750,0.007880
10,JOURNAL OF MATHEMATICAL PSYCHOLOGY,"3,063",2.635,0.003830
11,MATHEMATICAL FINANCE,"1,967",2.250,0.003870
12,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,"3,234",2.210,0.005010
13,Econometrics Journal,966,2.139,0.002350
14,FINANCE AND STOCHASTICS,"1,235",2.048,0.003520
15,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,"2,056",2.042,0.002660
16,Stata Journal,"4,673",1.990,0.005930
17,PSYCHOMETRIKA,"11,390",1.959,0.004990
18,JOURNAL OF APPLIED ECONOMETRICS,"5,727",1.901,0.008500
19,SYSTEM DYNAMICS REVIEW,"1,404",1.879,0.000300
20,Journal of Causal Inference,217,1.720,0.001700
21,Scandinavian Actuarial Journal,797,1.705,0.002080
22,JOURNAL OF ECONOMETRICS,"18,694",1.577,0.019980
23,Computational and Mathematical Organization Theory,447,1.558,0.000370
24,IMA Journal of Management Mathematics,440,1.529,0.000880
25,QUANTITATIVE FINANCE,"2,520",1.491,0.004730
26,JOURNAL OF PRODUCTIVITY ANALYSIS,"2,432",1.375,0.001790
27,INSURANCE MATHEMATICS & ECONOMICS,"3,551",1.359,0.004710
28,APPLIED PSYCHOLOGICAL MEASUREMENT,"4,522",1.326,0.001750
29,SIAM Journal on Financial Mathematics,525,1.315,0.002240
30,Empirical Economics,"2,537",1.308,0.003370
31,Methodology-European Journal of Research Methods for the Behavioral and Social Sciences,829,1.242,0.000990
32,Astin Bulletin,935,1.236,0.001340
33,ECONOMETRIC THEORY,"2,494",1.170,0.003860
34,Econometric Reviews,"1,469",0.933,0.002620
35,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,"3,285",0.918,0.002520
36,Journal of Official Statistics,"1,038",0.847,0.001310
37,SOCIAL CHOICE AND WELFARE,"1,339",0.843,0.002600
38,Survey Research Methods,334,0.805,0.000700
39,THEORY AND DECISION,"1,124",0.798,0.002490
40,Mathematics and Financial Economics,237,0.792,0.000800
41,JOURNAL OF MATHEMATICAL ECONOMICS,"1,429",0.746,0.003600
42,Nonlinear Dynamics Psychology and Life Sciences,378,0.688,0.000420
43,Survey Methodology,751,0.679,0.000440
44,LAW PROBABILITY & RISK,200,0.676,0.000240
45,MATHEMATICAL SOCIAL SCIENCES,982,0.669,0.001850
46,JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,317,0.658,0.000400
47,Mathematical Population Studies,185,0.586,0.000160
48,QME-Quantitative Marketing and Economics,483,0.583,0.001290
49,INTERNATIONAL JOURNAL OF GAME THEORY,"1,327",0.565,0.001810
50,JOURNAL OF MATHEMATICAL SOCIOLOGY,"1,028",0.538,0.000530
51,STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,457,0.533,0.000560
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
