Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'URBAN STUDIES' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,LANDSCAPE AND URBAN PLANNING,"18,415",5.441,0.015980
2,CITIES,"7,238",4.802,0.008420
3,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,"3,940",4.711,0.001750
4,HABITAT INTERNATIONAL,"6,352",4.310,0.007500
5,URBAN FORESTRY & URBAN GREENING,"6,024",4.021,0.007240
6,JOURNAL OF URBAN TECHNOLOGY,"1,174",3.733,0.001040
7,ENVIRONMENT AND URBANIZATION,"2,325",3.273,0.002080
8,JOURNAL OF PLANNING EDUCATION AND RESEARCH,"2,021",3.100,0.001950
9,URBAN GEOGRAPHY,"2,820",3.014,0.004120
10,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,"5,432",2.975,0.005860
11,JOURNAL OF URBAN ECONOMICS,"5,807",2.858,0.006330
12,EUROPEAN URBAN AND REGIONAL STUDIES,"1,408",2.855,0.001740
13,URBAN STUDIES,"12,520",2.828,0.012250
14,Environment and Planning B-Urban Analytics and City Science,"3,861",2.822,0.002230
15,Planning Theory & Practice,"1,195",2.654,0.001030
16,JOURNAL OF PLANNING LITERATURE,"1,035",2.583,0.000850
17,Housing Theory & Society,671,2.317,0.000840
18,HOUSING STUDIES,"2,555",2.255,0.002260
19,EUROPEAN PLANNING STUDIES,"3,940",2.226,0.003720
20,INTERNATIONAL REGIONAL SCIENCE REVIEW,"1,136",2.213,0.000710
21,URBAN EDUCATION,"1,916",2.200,0.002640
22,URBAN AFFAIRS REVIEW,"2,174",2.192,0.001960
23,Urban Research & Practice,383,2.043,0.000610
24,Urban Policy and Research,746,2.000,0.000760
25,INTERNATIONAL JOURNAL OF URBAN SCIENCES,396,1.831,0.000710
26,REGIONAL SCIENCE AND URBAN ECONOMICS,"3,464",1.667,0.004770
27,HOUSING POLICY DEBATE,"1,620",1.644,0.001340
28,JOURNAL OF URBAN AFFAIRS,"1,616",1.619,0.001920
29,JOURNAL OF HOUSING ECONOMICS,"1,073",1.594,0.001280
30,REAL ESTATE ECONOMICS,"1,275",1.585,0.001430
31,Journal of Housing and the Built Environment,917,1.442,0.001080
32,ECONOMIC DEVELOPMENT QUARTERLY,988,1.426,0.000650
33,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,"1,240",1.381,0.001350
34,JOURNAL OF CONTEMPORARY ETHNOGRAPHY,"1,221",1.295,0.001040
35,City & Community,965,1.133,0.001440
36,EDUCATION AND URBAN SOCIETY,787,1.014,0.000900
37,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,"1,861",0.967,0.001290
38,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,818,0.905,0.000610
39,Urban Design International,467,0.875,0.000290
40,JOURNAL OF URBAN HISTORY,542,0.453,0.000640
41,JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,492,0.439,0.000090
42,Open House International,151,0.183,0.000080
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
