Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'WATER RESOURCES' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,WATER RESEARCH,"99,442",9.130,0.081100
2,DESALINATION,"44,845",7.098,0.027810
3,HYDROLOGY AND EARTH SYSTEM SCIENCES,"19,937",5.153,0.031130
4,npj Clean Water,145,4.870,0.000290
5,Exposure and Health,649,4.762,0.001010
6,JOURNAL OF HYDROLOGY,"59,291",4.500,0.055090
7,Wiley Interdisciplinary Reviews-Water,"1,449",4.451,0.004790
8,CATENA,"16,147",4.333,0.018390
9,WATER RESOURCES RESEARCH,"56,293",4.309,0.050030
10,AGRICULTURAL WATER MANAGEMENT,"17,178",4.021,0.014260
11,ADVANCES IN WATER RESOURCES,"12,655",4.016,0.016570
12,International Soil and Water Conservation Research,851,3.770,0.001580
13,Journal of Hydrology-Regional Studies,"1,485",3.645,0.004000
14,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,"4,375",3.472,0.003770
15,Journal of Water Process Engineering,"2,951",3.465,0.004740
16,Environmental Science-Water Research & Technology,"1,953",3.449,0.004600
17,Geomatics Natural Hazards & Risk,"1,447",3.333,0.002560
18,HYDROLOGICAL PROCESSES,"22,428",3.256,0.021670
19,Mine Water and the Environment,"1,238",3.184,0.001470
20,INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,"1,867",3.136,0.001830
21,ENVIRONMENTAL TOXICOLOGY,"4,682",3.118,0.004720
22,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,"8,579",3.102,0.010370
23,Journal of Flood Risk Management,"1,249",3.066,0.001960
24,IRRIGATION SCIENCE,"2,758",3.014,0.001320
25,WATER RESOURCES MANAGEMENT,"11,012",2.924,0.012180
26,International Journal of Disaster Risk Reduction,"3,354",2.896,0.006780
27,Ecohydrology,"3,030",2.767,0.005960
28,HYDROGEOLOGY JOURNAL,"6,775",2.641,0.005700
29,International Journal of Sediment Research,"1,238",2.577,0.001420
30,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,"4,106",2.572,0.005210
31,Water,"13,460",2.544,0.021040
32,VADOSE ZONE JOURNAL,"4,616",2.504,0.004650
33,OCEAN & COASTAL MANAGEMENT,"7,216",2.482,0.010110
34,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,"6,147",2.472,0.004320
35,NATURAL HAZARDS,"14,509",2.427,0.019700
36,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,"5,139",2.406,0.004510
37,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"4,272",2.351,0.006810
38,JOURNAL OF CONTAMINANT HYDROLOGY,"5,190",2.347,0.003740
39,PHYSICS AND CHEMISTRY OF THE EARTH,"4,426",2.308,0.002640
40,JOURNAL OF SOIL AND WATER CONSERVATION,"4,331",2.209,0.002900
41,Groundwater,"6,120",2.205,0.003850
42,HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,"6,800",2.186,0.006210
43,Environmental Earth Sciences,"17,065",2.180,0.025340
44,Journal of Hydro-environment Research,986,2.099,0.001520
45,JOURNAL OF HYDRAULIC RESEARCH,"4,166",2.098,0.002990
46,International Journal of Disaster Risk Science,691,2.048,0.001310
47,Hydrology Research,"1,563",2.012,0.002950
48,Journal of Hydrology and Hydromechanics,640,2.011,0.001170
49,Journal of Water Reuse and Desalination,472,2.000,0.000690
50,JOURNAL OF HYDRAULIC ENGINEERING,"10,774",1.993,0.004610
51,Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,"1,215",1.979,0.001640
52,RIVER RESEARCH AND APPLICATIONS,"4,192",1.916,0.004820
53,Canadian Water Resources Journal,774,1.902,0.000780
54,WATER AIR AND SOIL POLLUTION,"15,219",1.900,0.009170
55,WATER INTERNATIONAL,"2,068",1.899,0.002100
56,Urban Water Journal,"2,079",1.888,0.002130
57,ECOHYDROLOGY & HYDROBIOLOGY,627,1.877,0.000720
58,Water Resources and Economics,246,1.875,0.000590
59,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,148,1.739,0.000230
60,JOURNAL OF HYDROINFORMATICS,"1,608",1.728,0.001720
61,Natural Hazards Review,"1,304",1.667,0.001080
62,WATER SCIENCE AND TECHNOLOGY,"20,937",1.638,0.009930
63,CLEAN-Soil Air Water,"3,263",1.603,0.002980
64,JOURNAL OF HYDROLOGIC ENGINEERING,"4,982",1.594,0.004640
65,ENVIRONMENTAL FLUID MECHANICS,"1,185",1.512,0.001910
66,Journal of Pipeline Systems Engineering and Practice,420,1.500,0.000660
67,WATER AND ENVIRONMENT JOURNAL,962,1.426,0.000940
68,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,"3,870",1.409,0.002170
69,JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,"2,393",1.325,0.001840
70,JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,"1,227",1.319,0.000910
71,GROUND WATER MONITORING AND REMEDIATION,822,1.283,0.000470
72,Journal of Water and Climate Change,553,1.254,0.000880
73,WETLANDS ECOLOGY AND MANAGEMENT,"1,916",1.221,0.001690
74,IRRIGATION AND DRAINAGE,"1,482",1.202,0.001130
75,WATER ENVIRONMENT RESEARCH,"3,120",1.151,0.001540
76,WATER SA,"2,328",1.094,0.001020
77,Water Policy,"1,512",1.093,0.001340
78,LAKE AND RESERVOIR MANAGEMENT,983,1.056,0.000610
79,Journal of Water Sanitation and Hygiene for Development,501,1.022,0.000900
80,Soil and Water Research,387,0.982,0.000350
81,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,644,0.965,0.000390
82,Membrane and Water Treatment,241,0.927,0.000260
83,Water Science and Technology-Water Supply,"1,296",0.900,0.001550
84,Desalination and Water Treatment,"14,535",0.854,0.017290
85,CHINA OCEAN ENGINEERING,677,0.835,0.000790
86,JOURNAL AMERICAN WATER WORKS ASSOCIATION,"3,051",0.804,0.001440
87,WATER QUALITY RESEARCH JOURNAL OF CANADA,661,0.643,0.000210
88,Grundwasser,151,0.595,0.000180
89,Hydrologie und Wasserbewirtschaftung,96,0.591,0.000240
90,Water Resources,858,0.556,0.000740
91,Engenharia Sanitaria e Ambiental,511,0.325,0.000400
92,Tecnologia y Ciencias del Agua,200,0.289,0.000160
93,HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,425,0.265,0.000320
94,WasserWirtschaft,117,0.078,0.000100
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
